id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1388797537776193536,1388797537776193536,2021-05-02 10:08:30 GMT,2021-05-02,10:08:30,+0000,1186628409524404226,ministeredelas1,Ministère de la Santé et de l'Action Sociale SEN,,Communiqué 427 /02 Mai  -1780 Tests  - 45 Nouveaux cas - 13  Cas contacts - 32 Cas communautaires  - 48 Guéris  - 11 Cas graves - 01 Nouveau décès  A ce jour 40433 cas ont été déclarés positifs dont 39158 guéris 1110 décès 164 sous traitement #Cov19sn - 413.031 vaccinés  https://t.co/OMXclBKdpx,fr,[],[],"['https://pbs.twimg.com/media/E0X_88xXoAAWlzS.jpg', 'https://pbs.twimg.com/media/E0X__aaWYAEUI0f.jpg']",0,17,58,['cov19sn'],[],https://twitter.com/MinisteredelaS1/status/1388797537776193536,False,,1,https://pbs.twimg.com/media/E0X_88xXoAAWlzS.jpg,,,,,,,[],,,,
1388447280831901699,1388447280831901699,2021-05-01 10:56:42 GMT,2021-05-01,10:56:42,+0000,1186628409524404226,ministeredelas1,Ministère de la Santé et de l'Action Sociale SEN,,Communiqué 426 /1er Mai  -1552 Tests  - 44 Nouveaux cas - 09  Cas contacts - 35 Cas communautaires  - 27 Guéris  - 11 Cas graves - 02 Nouveaux décès  A ce jour 40388 cas ont été déclarés positifs dont 39110 guéris 1109 décès 168 sous traitement #Cov19sn - 413.031 vaccinés  https://t.co/R5Kq5xIvKY,fr,[],[],"['https://pbs.twimg.com/media/E0TBZe1XoAMlWXI.jpg', 'https://pbs.twimg.com/media/E0TBbhpWQAEC4cL.jpg']",1,16,64,['cov19sn'],[],https://twitter.com/MinisteredelaS1/status/1388447280831901699,False,,1,https://pbs.twimg.com/media/E0TBZe1XoAMlWXI.jpg,,,,,,,[],,,,
1388074051378327553,1388074051378327553,2021-04-30 10:13:37 GMT,2021-04-30,10:13:37,+0000,1186628409524404226,ministeredelas1,Ministère de la Santé et de l'Action Sociale SEN,,Communiqué 425/30 Avril  -1280 Tests  - 49 Nouveaux cas - 14  Cas contacts - 35 Cas communautaires  - 62 Guéris  - 11 Cas graves - 00 Nouveau décès  A ce jour 40344 cas ont été déclarés positifs dont 39083 guéris 1107 décès 153 sous traitement #Cov19sn - 411.343 vaccinés  https://t.co/L5IUDOD0FH,fr,[],[],"['https://pbs.twimg.com/media/E0Nt5-aWUAEHZNn.jpg', 'https://pbs.twimg.com/media/E0Nt9FgX0AUelli.jpg']",1,25,86,['cov19sn'],[],https://twitter.com/MinisteredelaS1/status/1388074051378327553,False,,1,https://pbs.twimg.com/media/E0Nt5-aWUAEHZNn.jpg,,,,,,,[],,,,
1387723943776301057,1387723943776301057,2021-04-29 11:02:25 GMT,2021-04-29,11:02:25,+0000,1186628409524404226,ministeredelas1,Ministère de la Santé et de l'Action Sociale SEN,,Communiqué 424/29 Avril  -1309 Tests  - 46 Nouveaux cas - 17  Cas contacts - 29 Cas communautaires  - 30 Guéris  - 11 Cas graves - 00 Nouveau décès  A ce jour 40295 cas ont été déclarés positifs dont 39021 guéris 1107 décès 166 sous traitement #Cov19sn - 410.924 vaccinés  https://t.co/Zt2Wwexx2M,fr,[],[],"['https://pbs.twimg.com/media/E0IvjyUWQAQVgHk.jpg', 'https://pbs.twimg.com/media/E0IvkSGWUAYftAV.jpg']",0,23,65,['cov19sn'],[],https://twitter.com/MinisteredelaS1/status/1387723943776301057,False,,1,https://pbs.twimg.com/media/E0IvjyUWQAQVgHk.jpg,,,,,,,[],,,,
1387353568487874560,1387353568487874560,2021-04-28 10:30:41 GMT,2021-04-28,10:30:41,+0000,1186628409524404226,ministeredelas1,Ministère de la Santé et de l'Action Sociale SEN,,Communiqué 423/28 Avril  -1231 Tests  - 56 Nouveaux cas - 18  Cas contacts - 38 Cas communautaires  - 38 Guéris  - 10 Cas graves - 01 Nouveau décès  A ce jour 40249 cas ont été déclarés positifs dont 38991 guéris 1107 décès 150 sous traitement #Cov19sn - 406.981 vaccinés  https://t.co/aMIRiU9ZK0,fr,[],[],"['https://pbs.twimg.com/media/E0DepbIXIAA734H.jpg', 'https://pbs.twimg.com/media/E0DetXOXMAEkRT0.jpg']",0,26,84,['cov19sn'],[],https://twitter.com/MinisteredelaS1/status/1387353568487874560,False,,1,https://pbs.twimg.com/media/E0DepbIXIAA734H.jpg,,,,,,,[],,,,
1386990807597654017,1386990807597654017,2021-04-27 10:29:12 GMT,2021-04-27,10:29:12,+0000,1186628409524404226,ministeredelas1,Ministère de la Santé et de l'Action Sociale SEN,,Communiqué 422/27 Avril  -880 Tests  - 27  Nouveaux cas - 07  Cas contacts - 20 Cas communautaires  - 49 Guéris  - 09 Cas graves - 02 Nouveaux décès  A ce jour 40193 cas ont été déclarés positifs dont 38953 guéris 1106 décès 133 sous traitement #Cov19sn - 403935 vaccinés  https://t.co/pKwUIWpZVZ,fr,[],[],"['https://pbs.twimg.com/media/Ez-UxylWQAgL7Ms.jpg', 'https://pbs.twimg.com/media/Ez-UyQrXMAI2176.jpg']",0,17,84,['cov19sn'],[],https://twitter.com/MinisteredelaS1/status/1386990807597654017,False,,1,https://pbs.twimg.com/media/Ez-UxylWQAgL7Ms.jpg,,,,,,,[],,,,
1386634130205642757,1386634130205642757,2021-04-26 10:51:53 GMT,2021-04-26,10:51:53,+0000,1186628409524404226,ministeredelas1,Ministère de la Santé et de l'Action Sociale SEN,,Communiqué 421/26 Avril  -1194 Tests  - 31  Nouveaux cas - 10  Cas contacts - 21 Cas communautaires  - 43 Guéris  - 11 Cas graves - 02 Nouveaux décès  A ce jour 40166 cas ont été déclarés positifs dont 38904 guéris 1104 décès 157 sous traitement #Cov19sn - 399915 vaccinés  https://t.co/RdKRUJQDP2,fr,[],[],"['https://pbs.twimg.com/media/Ez5QYUjWUAAUWAo.jpg', 'https://pbs.twimg.com/media/Ez5QYy-X0AQAviF.jpg']",3,28,86,['cov19sn'],[],https://twitter.com/MinisteredelaS1/status/1386634130205642757,False,,1,https://pbs.twimg.com/media/Ez5QYUjWUAAUWAo.jpg,,,,,,,[],,,,
1386265231467352065,1386265231467352065,2021-04-25 10:26:01 GMT,2021-04-25,10:26:01,+0000,1186628409524404226,ministeredelas1,Ministère de la Santé et de l'Action Sociale SEN,,Communiqué 420/25 Avril  -1452 Tests  - 53  Nouveaux cas - 10  Cas contacts - 43 Cas communautaires  - 46 Guéris  - 11 Cas graves - 03 Nouveaux décès  A ce jour 40135 cas ont été déclarés positifs dont 38861 guéris 1102 décès 171 sous traitement #Cov19sn - 398941 vaccinés  https://t.co/7vrlK14dHz,fr,[],[],"['https://pbs.twimg.com/media/Ez0A1DlWEAE3pBH.jpg', 'https://pbs.twimg.com/media/Ez0A2DAWYAIFCXc.jpg']",2,19,69,['cov19sn'],[],https://twitter.com/MinisteredelaS1/status/1386265231467352065,False,,1,https://pbs.twimg.com/media/Ez0A1DlWEAE3pBH.jpg,,,,,,,[],,,,
1385902215370575873,1385902215370575873,2021-04-24 10:23:31 GMT,2021-04-24,10:23:31,+0000,1186628409524404226,ministeredelas1,Ministère de la Santé et de l'Action Sociale SEN,,Communiqué 419/24 Avril  -1638 Tests  - 60  Nouveaux cas - 28  Cas contacts - 32 Cas communautaires  - 29 Guéris  - 09 Cas graves - 02 Nouveaux décès  A ce jour 40082 cas ont été déclarés positifs dont 38815 guéris 1099 décès 167 sous traitement #Cov19sn - 398109 vaccinés  https://t.co/f7pFcO7mVc,fr,[],[],"['https://pbs.twimg.com/media/Ezu2p5yX0AAGgeJ.jpg', 'https://pbs.twimg.com/media/Ezu2rzuX0AUvnf_.jpg']",2,17,64,['cov19sn'],[],https://twitter.com/MinisteredelaS1/status/1385902215370575873,False,,1,https://pbs.twimg.com/media/Ezu2p5yX0AAGgeJ.jpg,,,,,,,[],,,,
1385620346510974980,1385620346510974980,2021-04-23 15:43:28 GMT,2021-04-23,15:43:28,+0000,1186628409524404226,ministeredelas1,Ministère de la Santé et de l'Action Sociale SEN,,"Dans le cadre de son 3ème programme de bourses d’excellence de spécialisation médicales, #LafondationSonatel octroie  vingt nouvelles bourses aux candidats retenus, pour un budget global de 280 millions FCFA. La signature de la convention de partenariat avec #leMsas  https://t.co/34BcVWWypd",fr,[],[],"['https://pbs.twimg.com/media/Ezq2UB7XIAAT8_a.jpg', 'https://pbs.twimg.com/media/Ezq2UB4WUAwPki3.jpg', 'https://pbs.twimg.com/media/Ezq2UB6XsAE_GDL.jpg', 'https://pbs.twimg.com/media/Ezq2UB9XIAE3bbz.jpg']",1,17,62,"['lafondationsonatel', 'lemsas']",[],https://twitter.com/MinisteredelaS1/status/1385620346510974980,False,,1,https://pbs.twimg.com/media/Ezq2UB7XIAAT8_a.jpg,,,,,,,[],,,,
